Rank,Publisher,MonthlyAudience,MonthlyDownloads,ActiveShows,Sales Contact
1,iHeart Audience Network,63682000,335163000,21773,iHeartRadio
2,iHeartPodcasts,29980000,162247000,820,iHeartRadio
3,NPR Sales Network,19965000,116755000,68,National Public Media
4,Acast+,19525000,73547000,52878,Acast
5,Libsyn,19291000,86551000,852,Libsyn Ads
6,The Walt Disney Company,6648000,23773000,133,
7,Vox Media,6627000,22076000,70,Vox Media
8,Fox Audio Network,6301000,37220000,165,Fox Ad Solutions
9,PodcastOne,5381000,20329000,194,PodcastOne Sales
10,ParamountÂ¹,4870000,17482000,131,
11,Barstool Sports,4405000,11879000,107,Barstool Sports Sales
12,Daily Wire+,3814000,22623000,9,The Daily Wire
13,PRX,2803000,7800000,191,Soundrise
14,Blaze Media,2485000,11271000,16,Blaze Media
15,WNYC Studios,2472000,9056000,36,New York Public Radio
16,This American Life,2146000,4210000,1,National Public Media
17,CNN,2012000,8181000,70,Warner Media Ad Sales
18,ReVolver Podcasts,1747000,3997000,151,SXM Media
19,Lemonada Media,1267000,3416000,84,Lemonada Media
